kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_penduduk,tahun
3276,KOTA DEPOK,LAKI-LAKI,936044,2019
3276,KOTA DEPOK,PEREMPUAN,921690,2019
3277,KOTA CIMAHI,LAKI-LAKI,278840,2019
3277,KOTA CIMAHI,PEREMPUAN,274915,2019
3278,KOTA TASIKMALAYA,LAKI-LAKI,365766,2019
3278,KOTA TASIKMALAYA,PEREMPUAN,354116,2019
3279,KOTA BANJAR,LAKI-LAKI,103049,2019
3279,KOTA BANJAR,PEREMPUAN,102577,2019
3201,KABUPATEN BOGOR,LAKI-LAKI,2627675,2020
3201,KABUPATEN BOGOR,PEREMPUAN,2504680,2020
3202,KABUPATEN SUKABUMI,LAKI-LAKI,1333443,2020
3202,KABUPATEN SUKABUMI,PEREMPUAN,1293319,2020
3203,KABUPATEN CIANJUR,LAKI-LAKI,1216433,2020
3203,KABUPATEN CIANJUR,PEREMPUAN,1152180,2020
3204,KABUPATEN BANDUNG,LAKI-LAKI,1824524,2020
3204,KABUPATEN BANDUNG,PEREMPUAN,1758532,2020
3205,KABUPATEN GARUT,LAKI-LAKI,1285225,2020
3205,KABUPATEN GARUT,PEREMPUAN,1229290,2020
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,916900,2020
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,886900,2020
3207,KABUPATEN CIAMIS,LAKI-LAKI,632826,2020
3207,KABUPATEN CIAMIS,PEREMPUAN,627158,2020
3208,KABUPATEN KUNINGAN,LAKI-LAKI,599724,2020
3208,KABUPATEN KUNINGAN,PEREMPUAN,584016,2020
3209,KABUPATEN CIREBON,LAKI-LAKI,1163760,2020
3209,KABUPATEN CIREBON,PEREMPUAN,1133239,2020
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,662772,2020
3210,KABUPATEN MAJALENGKA,PEREMPUAN,652500,2020
3211,KABUPATEN SUMEDANG,LAKI-LAKI,584770,2020
3211,KABUPATEN SUMEDANG,PEREMPUAN,574684,2020
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,942358,2020
3212,KABUPATEN INDRAMAYU,PEREMPUAN,928791,2020
3213,KABUPATEN SUBANG,LAKI-LAKI,794352,2020
3213,KABUPATEN SUBANG,PEREMPUAN,789583,2020
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,493002,2020
3214,KABUPATEN PURWAKARTA,PEREMPUAN,481302,2020
3215,KABUPATEN KARAWANG,LAKI-LAKI,1193589,2020
3215,KABUPATEN KARAWANG,PEREMPUAN,1167430,2020
3216,KABUPATEN BEKASI,LAKI-LAKI,1456865,2020
3216,KABUPATEN BEKASI,PEREMPUAN,1423415,2020
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,872332,2020
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,840016,2020
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,214541,2020
3218,KABUPATEN PANGANDARAN,PEREMPUAN,213701,2020
3271,KOTA BOGOR,LAKI-LAKI,538807,2020
3271,KOTA BOGOR,PEREMPUAN,525891,2020
3272,KOTA SUKABUMI,LAKI-LAKI,176539,2020
3272,KOTA SUKABUMI,PEREMPUAN,174920,2020
3273,KOTA BANDUNG,LAKI-LAKI,1256206,2020
3273,KOTA BANDUNG,PEREMPUAN,1244761,2020
3274,KOTA CIREBON,LAKI-LAKI,172117,2020
3274,KOTA CIREBON,PEREMPUAN,170886,2020
3275,KOTA BEKASI,LAKI-LAKI,1239236,2020
3275,KOTA BEKASI,PEREMPUAN,1225483,2020
3276,KOTA DEPOK,LAKI-LAKI,942540,2020
3276,KOTA DEPOK,PEREMPUAN,930456,2020
3277,KOTA CIMAHI,LAKI-LAKI,280754,2020
3277,KOTA CIMAHI,PEREMPUAN,277157,2020
3278,KOTA TASIKMALAYA,LAKI-LAKI,368850,2020
3278,KOTA TASIKMALAYA,PEREMPUAN,356711,2020
3279,KOTA BANJAR,LAKI-LAKI,103374,2020
3279,KOTA BANJAR,PEREMPUAN,102108,2020
3201,KABUPATEN BOGOR,LAKI-LAKI,2726214,2021
3201,KABUPATEN BOGOR,PEREMPUAN,2600917,2021
3202,KABUPATEN SUKABUMI,LAKI-LAKI,1375215,2021
3202,KABUPATEN SUKABUMI,PEREMPUAN,1333751,2021
3203,KABUPATEN CIANJUR,LAKI-LAKI,1249754,2021
3203,KABUPATEN CIANJUR,PEREMPUAN,1188084,2021
3204,KABUPATEN BANDUNG,LAKI-LAKI,1849361,2021
3204,KABUPATEN BANDUNG,PEREMPUAN,1784076,2021
3205,KABUPATEN GARUT,LAKI-LAKI,1341444,2021
3205,KABUPATEN GARUT,PEREMPUAN,1287281,2021
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,948327,2021
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,917571,2021
3207,KABUPATEN CIAMIS,LAKI-LAKI,635111,2021
3207,KABUPATEN CIAMIS,PEREMPUAN,628087,2021
3208,KABUPATEN KUNINGAN,LAKI-LAKI,607626,2021
3208,KABUPATEN KUNINGAN,PEREMPUAN,591188,2021
3209,KABUPATEN CIREBON,LAKI-LAKI,1198926,2021
3209,KABUPATEN CIREBON,PEREMPUAN,1166122,2021
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,665612,2021
3210,KABUPATEN MAJALENGKA,PEREMPUAN,658242,2021
3211,KABUPATEN SUMEDANG,LAKI-LAKI,587432,2021
3211,KABUPATEN SUMEDANG,PEREMPUAN,577615,2021
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,949838,2021
3212,KABUPATEN INDRAMAYU,PEREMPUAN,935334,2021
3213,KABUPATEN SUBANG,LAKI-LAKI,800055,2021
3213,KABUPATEN SUBANG,PEREMPUAN,796124,2021
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,506679,2021
3214,KABUPATEN PURWAKARTA,PEREMPUAN,494659,2021
3215,KABUPATEN KARAWANG,LAKI-LAKI,1214979,2021
3215,KABUPATEN KARAWANG,PEREMPUAN,1191916,2021
3216,KABUPATEN BEKASI,LAKI-LAKI,1527698,2021
3216,KABUPATEN BEKASI,PEREMPUAN,1495089,2021
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,907144,2021
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,873623,2021
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,216731,2021
3218,KABUPATEN PANGANDARAN,PEREMPUAN,215868,2021
3271,KOTA BOGOR,LAKI-LAKI,551620,2021
3271,KOTA BOGOR,PEREMPUAN,539776,2021
3272,KOTA SUKABUMI,LAKI-LAKI,177449,2021
3272,KOTA SUKABUMI,PEREMPUAN,176182,2021
3273,KOTA BANDUNG,LAKI-LAKI,1267661,2021
3273,KOTA BANDUNG,PEREMPUAN,1260193,2021
3274,KOTA CIREBON,LAKI-LAKI,172356,2021
3274,KOTA CIREBON,PEREMPUAN,171311,2021
3275,KOTA BEKASI,LAKI-LAKI,1238339,2021
3275,KOTA BEKASI,PEREMPUAN,1230109,2021
3276,KOTA DEPOK,LAKI-LAKI,951197,2021
3276,KOTA DEPOK,PEREMPUAN,942124,2021
3277,KOTA CIMAHI,LAKI-LAKI,281757,2021
3277,KOTA CIMAHI,PEREMPUAN,278989,2021
3278,KOTA TASIKMALAYA,LAKI-LAKI,371511,2021
3278,KOTA TASIKMALAYA,PEREMPUAN,360095,2021
3279,KOTA BANJAR,LAKI-LAKI,103374,2021
3279,KOTA BANJAR,PEREMPUAN,102358,2021
3201,KABUPATEN BOGOR,LAKI-LAKI,2801048,2022
3201,KABUPATEN BOGOR,PEREMPUAN,2672428,2022
3202,KABUPATEN SUKABUMI,LAKI-LAKI,1402812,2022
3202,KABUPATEN SUKABUMI,PEREMPUAN,1359688,2022
3203,KABUPATEN CIANJUR,LAKI-LAKI,1286527,2022
3203,KABUPATEN CIANJUR,PEREMPUAN,1219857,2022
3204,KABUPATEN BANDUNG,LAKI-LAKI,1887381,2022
3204,KABUPATEN BANDUNG,PEREMPUAN,1820963,2022
3205,KABUPATEN GARUT,LAKI-LAKI,1408225,2022
3205,KABUPATEN GARUT,PEREMPUAN,1351265,2022
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,988078,2022
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,951605,2022
3207,KABUPATEN CIAMIS,LAKI-LAKI,636322,2022
3207,KABUPATEN CIAMIS,PEREMPUAN,631556,2022
3208,KABUPATEN KUNINGAN,LAKI-LAKI,617506,2022
3208,KABUPATEN KUNINGAN,PEREMPUAN,600826,2022
3209,KABUPATEN CIREBON,LAKI-LAKI,1222681,2022
3209,KABUPATEN CIREBON,PEREMPUAN,1188621,2022
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,674058,2022
3210,KABUPATEN MAJALENGKA,PEREMPUAN,665958,2022
3211,KABUPATEN SUMEDANG,LAKI-LAKI,598352,2022
3211,KABUPATEN SUMEDANG,PEREMPUAN,589268,2022
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,962104,2022
3212,KABUPATEN INDRAMAYU,PEREMPUAN,950746,2022
3213,KABUPATEN SUBANG,LAKI-LAKI,809024,2022
3213,KABUPATEN SUBANG,PEREMPUAN,809356,2022
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,517156,2022
3214,KABUPATEN PURWAKARTA,PEREMPUAN,503838,2022
3215,KABUPATEN KARAWANG,LAKI-LAKI,1267126,2022
3215,KABUPATEN KARAWANG,PEREMPUAN,1242713,2022
3216,KABUPATEN BEKASI,LAKI-LAKI,1590981,2022
3216,KABUPATEN BEKASI,PEREMPUAN,1556287,2022
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,930140,2022
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,896806,2022
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,218716,2022
3218,KABUPATEN PANGANDARAN,PEREMPUAN,218032,2022
3271,KOTA BOGOR,LAKI-LAKI,563033,2022
3271,KOTA BOGOR,PEREMPUAN,550985,2022
3272,KOTA SUKABUMI,LAKI-LAKI,180141,2022
3272,KOTA SUKABUMI,PEREMPUAN,178713,2022
3273,KOTA BANDUNG,LAKI-LAKI,1275897,2022
3273,KOTA BANDUNG,PEREMPUAN,1269108,2022
3274,KOTA CIREBON,LAKI-LAKI,173756,2022
3274,KOTA CIREBON,PEREMPUAN,172682,2022
3275,KOTA BEKASI,LAKI-LAKI,1244983,2022
3275,KOTA BEKASI,PEREMPUAN,1241268,2022
3276,KOTA DEPOK,LAKI-LAKI,963442,2022
3276,KOTA DEPOK,PEREMPUAN,956740,2022
3277,KOTA CIMAHI,LAKI-LAKI,284655,2022
3277,KOTA CIMAHI,PEREMPUAN,281882,2022
3278,KOTA TASIKMALAYA,LAKI-LAKI,379050,2022
3278,KOTA TASIKMALAYA,PEREMPUAN,367660,2022
3279,KOTA BANJAR,LAKI-LAKI,104346,2022
3279,KOTA BANJAR,PEREMPUAN,103279,2022
