kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_usia,jumlah_korban,tahun
3213,KABUPATEN SUBANG,LAKI-LAKI,0-5,0,2018
3213,KABUPATEN SUBANG,LAKI-LAKI,13-17,5,2018
3213,KABUPATEN SUBANG,LAKI-LAKI,18-24,0,2018
3213,KABUPATEN SUBANG,LAKI-LAKI,25-44,0,2018
3213,KABUPATEN SUBANG,LAKI-LAKI,45-59,0,2018
3213,KABUPATEN SUBANG,LAKI-LAKI,6-12,4,2018
3213,KABUPATEN SUBANG,LAKI-LAKI,60+,0,2018
3213,KABUPATEN SUBANG,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3213,KABUPATEN SUBANG,PEREMPUAN,0-5,3,2018
3213,KABUPATEN SUBANG,PEREMPUAN,13-17,11,2018
3213,KABUPATEN SUBANG,PEREMPUAN,18-24,11,2018
3213,KABUPATEN SUBANG,PEREMPUAN,25-44,7,2018
3213,KABUPATEN SUBANG,PEREMPUAN,45-59,0,2018
3213,KABUPATEN SUBANG,PEREMPUAN,6-12,8,2018
3213,KABUPATEN SUBANG,PEREMPUAN,60+,0,2018
3213,KABUPATEN SUBANG,PEREMPUAN,TIDAK DIKETAHUI,0,2018
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,0-5,0,2018
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,13-17,2,2018
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,18-24,0,2018
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,25-44,1,2018
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,45-59,0,2018
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,6-12,0,2018
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,60+,0,2018
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3214,KABUPATEN PURWAKARTA,PEREMPUAN,0-5,0,2018
3214,KABUPATEN PURWAKARTA,PEREMPUAN,13-17,5,2018
3214,KABUPATEN PURWAKARTA,PEREMPUAN,18-24,4,2018
3214,KABUPATEN PURWAKARTA,PEREMPUAN,25-44,3,2018
3214,KABUPATEN PURWAKARTA,PEREMPUAN,45-59,0,2018
3214,KABUPATEN PURWAKARTA,PEREMPUAN,6-12,2,2018
3214,KABUPATEN PURWAKARTA,PEREMPUAN,60+,0,2018
3214,KABUPATEN PURWAKARTA,PEREMPUAN,TIDAK DIKETAHUI,0,2018
